buttonA,buttonB,correct,modifier,noun,response,suj,trial
hat one,one hat,1.0,one,hat,hat one,ENG3005,1.0
chairs seven,seven chairs,1.0,seven,chairs,chairs seven,ENG3005,2.0
five darts,darts five,1.0,five,darts,darts five,ENG3005,3.0
cows three,three cows,1.0,three,cows,cows three,ENG3005,4.0
eight ribbons,ribbons eight,1.0,eight,ribbons,ribbons eight,ENG3005,5.0
one lamp,lamp one,1.0,one,lamp,lamp one,ENG3005,6.0
keys seven,seven keys,1.0,seven,keys,keys seven,ENG3005,7.0
five boxes,boxes five,1.0,five,boxes,boxes five,ENG3005,8.0
vases three,three vases,1.0,three,vases,vases three,ENG3005,9.0
shovels eight,eight shovels,1.0,eight,shovels,shovels eight,ENG3005,10.0
pitcher one,one pitcher,1.0,one,pitcher,pitcher one,ENG3005,11.0
seven cherries,cherries seven,1.0,seven,cherries,cherries seven,ENG3005,12.0
shirts five,five shirts,1.0,five,shirts,shirts five,ENG3005,13.0
three pineapples,pineapples three,1.0,three,pineapples,pineapples three,ENG3005,14.0
eight cars,cars eight,1.0,eight,cars,cars eight,ENG3005,15.0
horse dirty,dirty horse,1.0,dirty,horse,horse dirty,ENG3005,16.0
purple couch,couch purple,1.0,purple,couch,couch purple,ENG3005,17.0
orange tray,tray orange,1.0,orange,tray,tray orange,ENG3005,18.0
pillow furry,furry pillow,1.0,furry,pillow,pillow furry,ENG3005,19.0
stone duck,duck stone,1.0,stone,duck,duck stone,ENG3005,20.0
dirty couch,couch dirty,1.0,dirty,couch,couch dirty,ENG3005,21.0
purple shovel,shovel purple,1.0,purple,shovel,shovel purple,ENG3005,22.0
cow orange,orange cow,1.0,orange,cow,cow orange,ENG3005,23.0
pineapple furry,furry pineapple,1.0,furry,pineapple,pineapple furry,ENG3005,24.0
stone horse,horse stone,1.0,stone,horse,horse stone,ENG3005,25.0
ribbon dirty,dirty ribbon,1.0,dirty,ribbon,ribbon dirty,ENG3005,26.0
purple pillow,pillow purple,1.0,purple,pillow,pillow purple,ENG3005,27.0
duck orange,orange duck,1.0,orange,duck,duck orange,ENG3005,28.0
furry vase,vase furry,1.0,furry,vase,vase furry,ENG3005,29.0
stone tray,tray stone,1.0,stone,tray,tray stone,ENG3005,30.0
