buttonA,buttonB,correct,modifier,noun,response,suj,trial
these keys,keys these,1.0,these,keys,keys these,ENG4015,1.0
handbags those,those handbags,1.0,those,handbags,handbags those,ENG4015,2.0
pineapple that,that pineapple,1.0,that,pineapple,pineapple that,ENG4015,3.0
spatula this,this spatula,1.0,this,spatula,spatula this,ENG4015,4.0
hats these,these hats,1.0,these,hats,hats these,ENG4015,5.0
shoes those,those shoes,1.0,those,shoes,shoes those,ENG4015,6.0
suitcase that,that suitcase,1.0,that,suitcase,suitcase that,ENG4015,7.0
leaf this,this leaf,1.0,this,leaf,leaf this,ENG4015,8.0
trays these,these trays,1.0,these,trays,trays these,ENG4015,9.0
those cows,cows those,1.0,those,cows,cows those,ENG4015,10.0
that pillow,pillow that,1.0,that,pillow,pillow that,ENG4015,11.0
this car,car this,1.0,this,car,car this,ENG4015,12.0
lamps these,these lamps,1.0,these,lamps,lamps these,ENG4015,13.0
shovels those,those shovels,1.0,those,shovels,shovels those,ENG4015,14.0
that shirt,shirt that,1.0,that,shirt,shirt that,ENG4015,15.0
orange scarf,scarf orange,1.0,orange,scarf,scarf orange,ENG4015,16.0
spotted horse,horse spotted,1.0,spotted,horse,horse spotted,ENG4015,17.0
pig wooden,wooden pig,1.0,wooden,pig,pig wooden,ENG4015,18.0
duck blue,blue duck,1.0,blue,duck,duck blue,ENG4015,19.0
green chair,chair green,1.0,green,chair,chair green,ENG4015,20.0
orange pig,pig orange,1.0,orange,pig,pig orange,ENG4015,21.0
spotted pillow,pillow spotted,1.0,spotted,pillow,pillow spotted,ENG4015,22.0
shovel wooden,wooden shovel,1.0,wooden,shovel,shovel wooden,ENG4015,23.0
handbag blue,blue handbag,1.0,blue,handbag,handbag blue,ENG4015,24.0
shoe green,green shoe,1.0,green,shoe,shoe green,ENG4015,25.0
orange shirt,shirt orange,1.0,orange,shirt,shirt orange,ENG4015,26.0
spotted cow,cow spotted,1.0,spotted,cow,cow spotted,ENG4015,27.0
horse wooden,wooden horse,1.0,wooden,horse,horse wooden,ENG4015,28.0
duck blue,blue duck,1.0,blue,duck,duck blue,ENG4015,29.0
chair green,green chair,1.0,green,chair,chair green,ENG4015,30.0
