buttonA,buttonB,correct,modifier,noun,response,suj,trial
pears eight,eight pears,1.0,eight,pears,pears eight,ENG3017,1.0
nine darts,darts nine,1.0,nine,darts,darts nine,ENG3017,2.0
scarves five,five scarves,1.0,five,scarves,scarves five,ENG3017,3.0
leaves three,three leaves,1.0,three,leaves,leaves three,ENG3017,4.0
seven cars,cars seven,1.0,seven,cars,cars seven,ENG3017,5.0
eight shirts,shirts eight,1.0,eight,shirts,shirts eight,ENG3017,6.0
ducks nine,nine ducks,1.0,nine,ducks,ducks nine,ENG3017,7.0
five pineapples,pineapples five,1.0,five,pineapples,pineapples five,ENG3017,8.0
shovels three,three shovels,1.0,three,shovels,shovels three,ENG3017,9.0
cherries seven,seven cherries,1.0,seven,cherries,cherries seven,ENG3017,10.0
eight lamps,lamps eight,1.0,eight,lamps,lamps eight,ENG3017,11.0
nine handbags,handbags nine,1.0,nine,handbags,handbags nine,ENG3017,12.0
five spatulas,spatulas five,1.0,five,spatulas,spatulas five,ENG3017,13.0
chairs three,three chairs,1.0,three,chairs,chairs three,ENG3017,14.0
seven bananas,bananas seven,1.0,seven,bananas,bananas seven,ENG3017,15.0
orange horse,horse orange,1.0,orange,horse,horse orange,ENG3017,16.0
blue vase,vase blue,1.0,blue,vase,vase blue,ENG3017,17.0
key dirty,dirty key,1.0,dirty,key,key dirty,ENG3017,18.0
green shoe,shoe green,1.0,green,shoe,shoe green,ENG3017,19.0
bowl striped,striped bowl,1.0,striped,bowl,bowl striped,ENG3017,20.0
duck orange,orange duck,1.0,orange,duck,duck orange,ENG3017,21.0
car blue,blue car,1.0,blue,car,car blue,ENG3017,22.0
leaf dirty,dirty leaf,1.0,dirty,leaf,leaf dirty,ENG3017,23.0
shirt green,green shirt,1.0,green,shirt,shirt green,ENG3017,24.0
bowl striped,striped bowl,1.0,striped,bowl,bowl striped,ENG3017,25.0
orange lamp,lamp orange,1.0,orange,lamp,lamp orange,ENG3017,26.0
blue cherry,cherry blue,1.0,blue,cherry,cherry blue,ENG3017,27.0
pineapple dirty,dirty pineapple,1.0,dirty,pineapple,pineapple dirty,ENG3017,28.0
green pear,pear green,1.0,green,pear,pear green,ENG3017,29.0
striped shovel,shovel striped,1.0,striped,shovel,shovel striped,ENG3017,30.0
