buttonA,buttonB,correct,modifier,noun,response,suj,trial
cherry one,one cherry,1.0,one,cherry,cherry one,ENG4011,1.0
pigs seven,seven pigs,1.0,seven,pigs,pigs seven,ENG4011,2.0
hats three,three hats,1.0,three,hats,hats three,ENG4011,3.0
suitcases ten,ten suitcases,1.0,ten,suitcases,suitcases ten,ENG4011,4.0
nine keys,keys nine,1.0,nine,keys,keys nine,ENG4011,5.0
scarf one,one scarf,1.0,one,scarf,scarf one,ENG4011,6.0
trays seven,seven trays,1.0,seven,trays,trays seven,ENG4011,7.0
horses three,three horses,1.0,three,horses,horses three,ENG4011,8.0
leaves ten,ten leaves,1.0,ten,leaves,leaves ten,ENG4011,9.0
lamps nine,nine lamps,1.0,nine,lamps,lamps nine,ENG4011,10.0
banana one,one banana,1.0,one,banana,banana one,ENG4011,11.0
bowls seven,seven bowls,1.0,seven,bowls,bowls seven,ENG4011,12.0
three shovels,shovels three,1.0,three,shovels,shovels three,ENG4011,13.0
darts ten,ten darts,1.0,ten,darts,darts ten,ENG4011,14.0
pillows nine,nine pillows,1.0,nine,pillows,pillows nine,ENG4011,15.0
dirty car,car dirty,1.0,dirty,car,car dirty,ENG4011,16.0
pitcher furry,furry pitcher,1.0,furry,pitcher,pitcher furry,ENG4011,17.0
blue chair,chair blue,1.0,blue,chair,chair blue,ENG4011,18.0
orange pear,pear orange,1.0,orange,pear,pear orange,ENG4011,19.0
striped cow,cow striped,1.0,striped,cow,cow striped,ENG4011,20.0
dirty suitcase,suitcase dirty,1.0,dirty,suitcase,suitcase dirty,ENG4011,21.0
furry dart,dart furry,1.0,furry,dart,dart furry,ENG4011,22.0
lamp blue,blue lamp,1.0,blue,lamp,lamp blue,ENG4011,23.0
horse orange,orange horse,1.0,orange,horse,horse orange,ENG4011,24.0
striped key,key striped,1.0,striped,key,key striped,ENG4011,25.0
pillow dirty,dirty pillow,1.0,dirty,pillow,pillow dirty,ENG4011,26.0
hat furry,furry hat,1.0,furry,hat,hat furry,ENG4011,27.0
pig blue,blue pig,1.0,blue,pig,pig blue,ENG4011,28.0
cow orange,orange cow,1.0,orange,cow,cow orange,ENG4011,29.0
bowl striped,striped bowl,1.0,striped,bowl,bowl striped,ENG4011,30.0
