buttonA,buttonB,correct,modifier,noun,response,suj,trial
leaf one,one leaf,1.0,one,leaf,leaf one,ENG2002,1.0
four cars,cars four,1.0,four,cars,cars four,ENG2002,2.0
two horses,horses two,1.0,two,horses,horses two,ENG2002,3.0
lamps ten,ten lamps,1.0,ten,lamps,lamps ten,ENG2002,4.0
boxes seven,seven boxes,1.0,seven,boxes,boxes seven,ENG2002,5.0
scarf one,one scarf,1.0,one,scarf,scarf one,ENG2002,6.0
ribbons four,four ribbons,1.0,four,ribbons,ribbons four,ENG2002,7.0
two pigs,pigs two,1.0,two,pigs,pigs two,ENG2002,8.0
chairs ten,ten chairs,1.0,ten,chairs,chairs ten,ENG2002,9.0
trays seven,seven trays,1.0,seven,trays,trays seven,ENG2002,10.0
one spatula,spatula one,1.0,one,spatula,spatula one,ENG2002,11.0
bowls four,four bowls,1.0,four,bowls,bowls four,ENG2002,12.0
cows two,two cows,1.0,two,cows,cows two,ENG2002,13.0
ten pillows,pillows ten,1.0,ten,pillows,pillows ten,ENG2002,14.0
shoes seven,seven shoes,1.0,seven,shoes,shoes seven,ENG2002,15.0
spotted pear,pear spotted,1.0,spotted,pear,pear spotted,ENG2002,16.0
pitcher purple,purple pitcher,1.0,purple,pitcher,pitcher purple,ENG2002,17.0
furry shirt,shirt furry,1.0,furry,shirt,shirt furry,ENG2002,18.0
suitcase green,green suitcase,1.0,green,suitcase,suitcase green,ENG2002,19.0
wooden dart,dart wooden,1.0,wooden,dart,dart wooden,ENG2002,20.0
spotted leaf,leaf spotted,1.0,spotted,leaf,leaf spotted,ENG2002,21.0
horse purple,purple horse,1.0,purple,horse,horse purple,ENG2002,22.0
furry suitcase,suitcase furry,1.0,furry,suitcase,suitcase furry,ENG2002,23.0
pitcher green,green pitcher,1.0,green,pitcher,pitcher green,ENG2002,24.0
lamp wooden,wooden lamp,1.0,wooden,lamp,lamp wooden,ENG2002,25.0
cow spotted,spotted cow,1.0,spotted,cow,cow spotted,ENG2002,26.0
pillow purple,purple pillow,1.0,purple,pillow,pillow purple,ENG2002,27.0
furry tray,tray furry,1.0,furry,tray,tray furry,ENG2002,28.0
car green,green car,1.0,green,car,car green,ENG2002,29.0
wooden pear,pear wooden,1.0,wooden,pear,pear wooden,ENG2002,30.0
