buttonA,buttonB,correct,modifier,noun,response,suj,trial
shirts ten,ten shirts,1.0,ten,shirts,shirts ten,ENG3008,1.0
darts nine,nine darts,1.0,nine,darts,darts nine,ENG3008,2.0
handbag one,one handbag,1.0,one,handbag,handbag one,ENG3008,3.0
pillows two,two pillows,1.0,two,pillows,pillows two,ENG3008,4.0
seven shoes,shoes seven,1.0,seven,shoes,shoes seven,ENG3008,5.0
ten cars,cars ten,1.0,ten,cars,cars ten,ENG3008,6.0
nine pears,pears nine,1.0,nine,pears,pears nine,ENG3008,7.0
ribbon one,one ribbon,1.0,one,ribbon,ribbon one,ENG3008,8.0
spatulas two,two spatulas,1.0,two,spatulas,spatulas two,ENG3008,9.0
seven trays,trays seven,1.0,seven,trays,trays seven,ENG3008,10.0
ten cows,cows ten,1.0,ten,cows,cows ten,ENG3008,11.0
horses nine,nine horses,1.0,nine,horses,horses nine,ENG3008,12.0
one chair,chair one,1.0,one,chair,chair one,ENG3008,13.0
two bowls,bowls two,1.0,two,bowls,bowls two,ENG3008,14.0
bananas seven,seven bananas,1.0,seven,bananas,bananas seven,ENG3008,15.0
green key,key green,1.0,green,key,key green,ENG3008,16.0
scarf wooden,wooden scarf,1.0,wooden,scarf,scarf wooden,ENG3008,17.0
shovel furry,furry shovel,1.0,furry,shovel,shovel furry,ENG3008,18.0
purple duck,duck purple,1.0,purple,duck,duck purple,ENG3008,19.0
orange box,box orange,1.0,orange,box,box orange,ENG3008,20.0
green scarf,scarf green,1.0,green,scarf,scarf green,ENG3008,21.0
shovel wooden,wooden shovel,1.0,wooden,shovel,shovel wooden,ENG3008,22.0
furry dart,dart furry,1.0,furry,dart,dart furry,ENG3008,23.0
car purple,purple car,1.0,purple,car,car purple,ENG3008,24.0
orange shoe,shoe orange,1.0,orange,shoe,shoe orange,ENG3008,25.0
green duck,duck green,1.0,green,duck,duck green,ENG3008,26.0
wooden box,box wooden,1.0,wooden,box,box wooden,ENG3008,27.0
cow furry,furry cow,1.0,furry,cow,cow furry,ENG3008,28.0
spatula purple,purple spatula,1.0,purple,spatula,spatula purple,ENG3008,29.0
banana orange,orange banana,1.0,orange,banana,banana orange,ENG3008,30.0
