buttonA,buttonB,correct,modifier,noun,response,suj,trial
two leaves,leaves two,1.0,two,leaves,leaves two,ENG4014,1.0
nine pineapples,pineapples nine,1.0,nine,pineapples,pineapples nine,ENG4014,2.0
one pitcher,pitcher one,1.0,one,pitcher,pitcher one,ENG4014,3.0
three bananas,bananas three,1.0,three,bananas,bananas three,ENG4014,4.0
pillows seven,seven pillows,1.0,seven,pillows,pillows seven,ENG4014,5.0
two hats,hats two,1.0,two,hats,hats two,ENG4014,6.0
shirts nine,nine shirts,1.0,nine,shirts,shirts nine,ENG4014,7.0
one lamp,lamp one,1.0,one,lamp,lamp one,ENG4014,8.0
keys three,three keys,1.0,three,keys,keys three,ENG4014,9.0
seven spatulas,spatulas seven,1.0,seven,spatulas,spatulas seven,ENG4014,10.0
handbags two,two handbags,1.0,two,handbags,handbags two,ENG4014,11.0
horses nine,nine horses,1.0,nine,horses,horses nine,ENG4014,12.0
scarf one,one scarf,1.0,one,scarf,scarf one,ENG4014,13.0
boxes three,three boxes,1.0,three,boxes,boxes three,ENG4014,14.0
seven chairs,chairs seven,1.0,seven,chairs,chairs seven,ENG4014,15.0
purple pear,pear purple,1.0,purple,pear,pear purple,ENG4014,16.0
spotted vase,vase spotted,1.0,spotted,vase,vase spotted,ENG4014,17.0
pig blue,blue pig,1.0,blue,pig,pig blue,ENG4014,18.0
furry bowl,bowl furry,1.0,furry,bowl,bowl furry,ENG4014,19.0
shoe dirty,dirty shoe,1.0,dirty,shoe,shoe dirty,ENG4014,20.0
purple shirt,shirt purple,1.0,purple,shirt,shirt purple,ENG4014,21.0
spotted pillow,pillow spotted,1.0,spotted,pillow,pillow spotted,ENG4014,22.0
blue hat,hat blue,1.0,blue,hat,hat blue,ENG4014,23.0
furry scarf,scarf furry,1.0,furry,scarf,scarf furry,ENG4014,24.0
dirty pineapple,pineapple dirty,1.0,dirty,pineapple,pineapple dirty,ENG4014,25.0
purple bowl,bowl purple,1.0,purple,bowl,bowl purple,ENG4014,26.0
spotted lamp,lamp spotted,1.0,spotted,lamp,lamp spotted,ENG4014,27.0
blue handbag,handbag blue,1.0,blue,handbag,handbag blue,ENG4014,28.0
pitcher furry,furry pitcher,1.0,furry,pitcher,pitcher furry,ENG4014,29.0
dirty key,key dirty,1.0,dirty,key,key dirty,ENG4014,30.0
