buttonA,buttonB,correct,modifier,noun,response,suj,trial
ducks six,six ducks,1.0,six,ducks,ducks six,ENG4008,1.0
leaves seven,seven leaves,1.0,seven,leaves,leaves seven,ENG4008,2.0
ten shoes,shoes ten,1.0,ten,shoes,shoes ten,ENG4008,3.0
nine pitchers,pitchers nine,1.0,nine,pitchers,pitchers nine,ENG4008,4.0
scarves five,five scarves,1.0,five,scarves,scarves five,ENG4008,5.0
six cars,cars six,1.0,six,cars,cars six,ENG4008,6.0
bowls seven,seven bowls,1.0,seven,bowls,bowls seven,ENG4008,7.0
pigs ten,ten pigs,1.0,ten,pigs,pigs ten,ENG4008,8.0
nine pears,pears nine,1.0,nine,pears,pears nine,ENG4008,9.0
hats five,five hats,1.0,five,hats,hats five,ENG4008,10.0
six trays,trays six,1.0,six,trays,trays six,ENG4008,11.0
vases seven,seven vases,1.0,seven,vases,vases seven,ENG4008,12.0
ten ribbons,ribbons ten,1.0,ten,ribbons,ribbons ten,ENG4008,13.0
pineapples nine,nine pineapples,1.0,nine,pineapples,pineapples nine,ENG4008,14.0
boxes five,five boxes,1.0,five,boxes,boxes five,ENG4008,15.0
banana wooden,wooden banana,1.0,wooden,banana,banana wooden,ENG4008,16.0
purple spatula,spatula purple,1.0,purple,spatula,spatula purple,ENG4008,17.0
blue chair,chair blue,1.0,blue,chair,chair blue,ENG4008,18.0
handbag striped,striped handbag,1.0,striped,handbag,handbag striped,ENG4008,19.0
spotted key,key spotted,1.0,spotted,key,key spotted,ENG4008,20.0
key wooden,wooden key,1.0,wooden,key,key wooden,ENG4008,21.0
leaf purple,purple leaf,1.0,purple,leaf,leaf purple,ENG4008,22.0
banana blue,blue banana,1.0,blue,banana,banana blue,ENG4008,23.0
striped vase,vase striped,1.0,striped,vase,vase striped,ENG4008,24.0
spotted scarf,scarf spotted,1.0,spotted,scarf,scarf spotted,ENG4008,25.0
wooden chair,chair wooden,1.0,wooden,chair,chair wooden,ENG4008,26.0
purple ribbon,ribbon purple,1.0,purple,ribbon,ribbon purple,ENG4008,27.0
blue pineapple,pineapple blue,1.0,blue,pineapple,pineapple blue,ENG4008,28.0
striped shoe,shoe striped,1.0,striped,shoe,shoe striped,ENG4008,29.0
handbag spotted,spotted handbag,1.0,spotted,handbag,handbag spotted,ENG4008,30.0
