buttonA,buttonB,correct,modifier,noun,response,suj,trial
ribbons these,these ribbons,1.0,these,ribbons,ribbons these,ENG2006,1.0
pineapples those,those pineapples,1.0,those,pineapples,pineapples those,ENG2006,2.0
chair this,this chair,1.0,this,chair,chair this,ENG2006,3.0
that lamp,lamp that,1.0,that,lamp,lamp that,ENG2006,4.0
these scarves,scarves these,1.0,these,scarves,scarves these,ENG2006,5.0
those cars,cars those,1.0,those,cars,cars those,ENG2006,6.0
pear this,this pear,1.0,this,pear,pear this,ENG2006,7.0
pig that,that pig,1.0,that,pig,pig that,ENG2006,8.0
these shirts,shirts these,1.0,these,shirts,shirts these,ENG2006,9.0
those pillows,pillows those,1.0,those,pillows,pillows those,ENG2006,10.0
pitcher this,this pitcher,1.0,this,pitcher,pitcher this,ENG2006,11.0
that suitcase,suitcase that,1.0,that,suitcase,suitcase that,ENG2006,12.0
these boxes,boxes these,1.0,these,boxes,boxes these,ENG2006,13.0
spatulas those,those spatulas,1.0,those,spatulas,spatulas those,ENG2006,14.0
this bowl,bowl this,1.0,this,bowl,bowl this,ENG2006,15.0
dirty duck,duck dirty,1.0,dirty,duck,duck dirty,ENG2006,16.0
horse wooden,wooden horse,1.0,wooden,horse,horse wooden,ENG2006,17.0
furry cow,cow furry,1.0,furry,cow,cow furry,ENG2006,18.0
banana striped,striped banana,1.0,striped,banana,banana striped,ENG2006,19.0
green vase,vase green,1.0,green,vase,vase green,ENG2006,20.0
car dirty,dirty car,1.0,dirty,car,car dirty,ENG2006,21.0
spatula wooden,wooden spatula,1.0,wooden,spatula,spatula wooden,ENG2006,22.0
shirt furry,furry shirt,1.0,furry,shirt,shirt furry,ENG2006,23.0
striped scarf,scarf striped,1.0,striped,scarf,scarf striped,ENG2006,24.0
pillow green,green pillow,1.0,green,pillow,pillow green,ENG2006,25.0
box dirty,dirty box,1.0,dirty,box,box dirty,ENG2006,26.0
lamp wooden,wooden lamp,1.0,wooden,lamp,lamp wooden,ENG2006,27.0
furry vase,vase furry,1.0,furry,vase,vase furry,ENG2006,28.0
chair striped,striped chair,1.0,striped,chair,chair striped,ENG2006,29.0
bowl green,green bowl,1.0,green,bowl,bowl green,ENG2006,30.0
