buttonA,buttonB,correct,modifier,noun,response,suj,trial
bowls eight,eight bowls,1.0,eight,bowls,bowls eight,ENG4005,1.0
seven spatulas,spatulas seven,1.0,seven,spatulas,spatulas seven,ENG4005,2.0
ribbons ten,ten ribbons,1.0,ten,ribbons,ribbons ten,ENG4005,3.0
leaves four,four leaves,1.0,four,leaves,leaves four,ENG4005,4.0
two keys,keys two,1.0,two,keys,keys two,ENG4005,5.0
shovels eight,eight shovels,1.0,eight,shovels,shovels eight,ENG4005,6.0
seven cherries,cherries seven,1.0,seven,cherries,cherries seven,ENG4005,7.0
pineapples ten,ten pineapples,1.0,ten,pineapples,pineapples ten,ENG4005,8.0
vases four,four vases,1.0,four,vases,vases four,ENG4005,9.0
two handbags,handbags two,1.0,two,handbags,handbags two,ENG4005,10.0
eight bananas,bananas eight,1.0,eight,bananas,bananas eight,ENG4005,11.0
couches seven,seven couches,1.0,seven,couches,couches seven,ENG4005,12.0
ten hats,hats ten,1.0,ten,hats,hats ten,ENG4005,13.0
lamps four,four lamps,1.0,four,lamps,lamps four,ENG4005,14.0
ducks two,two ducks,1.0,two,ducks,ducks two,ENG4005,15.0
dirty car,car dirty,1.0,dirty,car,car dirty,ENG4005,16.0
orange pear,pear orange,1.0,orange,pear,pear orange,ENG4005,17.0
striped chair,chair striped,1.0,striped,chair,chair striped,ENG4005,18.0
scarf blue,blue scarf,1.0,blue,scarf,scarf blue,ENG4005,19.0
purple cow,cow purple,1.0,purple,cow,cow purple,ENG4005,20.0
dirty cow,cow dirty,1.0,dirty,cow,cow dirty,ENG4005,21.0
key orange,orange key,1.0,orange,key,key orange,ENG4005,22.0
striped leaf,leaf striped,1.0,striped,leaf,leaf striped,ENG4005,23.0
blue car,car blue,1.0,blue,car,car blue,ENG4005,24.0
purple chair,chair purple,1.0,purple,chair,chair purple,ENG4005,25.0
hat dirty,dirty hat,1.0,dirty,hat,hat dirty,ENG4005,26.0
orange lamp,lamp orange,1.0,orange,lamp,lamp orange,ENG4005,27.0
vase striped,striped vase,1.0,striped,vase,vase striped,ENG4005,28.0
blue handbag,handbag blue,1.0,blue,handbag,handbag blue,ENG4005,29.0
shovel purple,purple shovel,1.0,purple,shovel,shovel purple,ENG4005,30.0
