buttonA,buttonB,correct,modifier,noun,response,suj,trial
pillow this,this pillow,1.0,this,pillow,pillow this,ENG1007,1.0
these darts,darts these,1.0,these,darts,darts these,ENG1007,2.0
that couch,couch that,1.0,that,couch,couch that,ENG1007,3.0
those horses,horses those,1.0,those,horses,horses those,ENG1007,4.0
shoe this,this shoe,1.0,this,shoe,shoe this,ENG1007,5.0
ribbons these,these ribbons,1.0,these,ribbons,ribbons these,ENG1007,6.0
that shovel,shovel that,1.0,that,shovel,shovel that,ENG1007,7.0
bananas those,those bananas,1.0,those,bananas,bananas those,ENG1007,8.0
spatula this,this spatula,1.0,this,spatula,spatula this,ENG1007,9.0
these pears,pears these,1.0,these,pears,pears these,ENG1007,10.0
that box,box that,1.0,that,box,box that,ENG1007,11.0
those handbags,handbags those,1.0,those,handbags,handbags those,ENG1007,12.0
this cherry,cherry this,1.0,this,cherry,cherry this,ENG1007,13.0
these suitcases,suitcases these,1.0,these,suitcases,suitcases these,ENG1007,14.0
that shirt,shirt that,1.0,that,shirt,shirt that,ENG1007,15.0
cars ten,ten cars,1.0,ten,cars,cars ten,ENG1007,16.0
pigs nine,nine pigs,1.0,nine,pigs,pigs nine,ENG1007,17.0
key one,one key,1.0,one,key,key one,ENG1007,18.0
trays seven,seven trays,1.0,seven,trays,trays seven,ENG1007,19.0
ducks five,five ducks,1.0,five,ducks,ducks five,ENG1007,20.0
ten darts,darts ten,1.0,ten,darts,darts ten,ENG1007,21.0
shoes nine,nine shoes,1.0,nine,shoes,shoes nine,ENG1007,22.0
one duck,duck one,1.0,one,duck,duck one,ENG1007,23.0
boxes seven,seven boxes,1.0,seven,boxes,boxes seven,ENG1007,24.0
five ribbons,ribbons five,1.0,five,ribbons,ribbons five,ENG1007,25.0
cherries ten,ten cherries,1.0,ten,cherries,cherries ten,ENG1007,26.0
pigs nine,nine pigs,1.0,nine,pigs,pigs nine,ENG1007,27.0
couch one,one couch,1.0,one,couch,couch one,ENG1007,28.0
seven trays,trays seven,1.0,seven,trays,trays seven,ENG1007,29.0
pears five,five pears,1.0,five,pears,pears five,ENG1007,30.0
