buttonA,buttonB,correct,modifier,noun,response,suj,trial
this shoe,shoe this,1.0,this,shoe,shoe this,ENG3006,1.0
that shirt,shirt that,1.0,that,shirt,shirt that,ENG3006,2.0
pillows those,those pillows,1.0,those,pillows,pillows those,ENG3006,3.0
scarves these,these scarves,1.0,these,scarves,scarves these,ENG3006,4.0
this lamp,lamp this,1.0,this,lamp,lamp this,ENG3006,5.0
that ribbon,ribbon that,1.0,that,ribbon,ribbon that,ENG3006,6.0
handbags those,those handbags,1.0,those,handbags,handbags those,ENG3006,7.0
these cows,cows these,1.0,these,cows,cows these,ENG3006,8.0
banana this,this banana,1.0,this,banana,banana this,ENG3006,9.0
horse that,that horse,1.0,that,horse,horse that,ENG3006,10.0
those shovels,shovels those,1.0,those,shovels,shovels those,ENG3006,11.0
these chairs,chairs these,1.0,these,chairs,chairs these,ENG3006,12.0
this dart,dart this,1.0,this,dart,dart this,ENG3006,13.0
that key,key that,1.0,that,key,key that,ENG3006,14.0
those spatulas,spatulas those,1.0,those,spatulas,spatulas those,ENG3006,15.0
suitcase wooden,wooden suitcase,1.0,wooden,suitcase,suitcase wooden,ENG3006,16.0
green cherry,cherry green,1.0,green,cherry,cherry green,ENG3006,17.0
spotted tray,tray spotted,1.0,spotted,tray,tray spotted,ENG3006,18.0
blue bowl,bowl blue,1.0,blue,bowl,bowl blue,ENG3006,19.0
leaf dirty,dirty leaf,1.0,dirty,leaf,leaf dirty,ENG3006,20.0
ribbon wooden,wooden ribbon,1.0,wooden,ribbon,ribbon wooden,ENG3006,21.0
key green,green key,1.0,green,key,key green,ENG3006,22.0
spotted tray,tray spotted,1.0,spotted,tray,tray spotted,ENG3006,23.0
cow blue,blue cow,1.0,blue,cow,cow blue,ENG3006,24.0
bowl dirty,dirty bowl,1.0,dirty,bowl,bowl dirty,ENG3006,25.0
scarf wooden,wooden scarf,1.0,wooden,scarf,scarf wooden,ENG3006,26.0
chair green,green chair,1.0,green,chair,chair green,ENG3006,27.0
spotted shirt,shirt spotted,1.0,spotted,shirt,shirt spotted,ENG3006,28.0
blue leaf,leaf blue,1.0,blue,leaf,leaf blue,ENG3006,29.0
dirty suitcase,suitcase dirty,1.0,dirty,suitcase,suitcase dirty,ENG3006,30.0
