buttonA,buttonB,correct,modifier,noun,response,suj,trial
cows those,those cows,1.0,those,cows,cows those,ENG4012,1.0
these spatulas,spatulas these,1.0,these,spatulas,spatulas these,ENG4012,2.0
that scarf,scarf that,1.0,that,scarf,scarf that,ENG4012,3.0
this pitcher,pitcher this,1.0,this,pitcher,pitcher this,ENG4012,4.0
pigs those,those pigs,1.0,those,pigs,pigs those,ENG4012,5.0
these shovels,shovels these,1.0,these,shovels,shovels these,ENG4012,6.0
shirt that,that shirt,1.0,that,shirt,shirt that,ENG4012,7.0
this ribbon,ribbon this,1.0,this,ribbon,ribbon this,ENG4012,8.0
those boxes,boxes those,1.0,those,boxes,boxes those,ENG4012,9.0
horses these,these horses,1.0,these,horses,horses these,ENG4012,10.0
vase that,that vase,1.0,that,vase,vase that,ENG4012,11.0
this pineapple,pineapple this,1.0,this,pineapple,pineapple this,ENG4012,12.0
ducks those,those ducks,1.0,those,ducks,ducks those,ENG4012,13.0
these lamps,lamps these,1.0,these,lamps,lamps these,ENG4012,14.0
tray that,that tray,1.0,that,tray,tray that,ENG4012,15.0
green key,key green,1.0,green,key,key green,ENG4012,16.0
striped hat,hat striped,1.0,striped,hat,hat striped,ENG4012,17.0
dirty leaf,leaf dirty,1.0,dirty,leaf,leaf dirty,ENG4012,18.0
banana purple,purple banana,1.0,purple,banana,banana purple,ENG4012,19.0
pear spotted,spotted pear,1.0,spotted,pear,pear spotted,ENG4012,20.0
pitcher green,green pitcher,1.0,green,pitcher,pitcher green,ENG4012,21.0
tray striped,striped tray,1.0,striped,tray,tray striped,ENG4012,22.0
leaf dirty,dirty leaf,1.0,dirty,leaf,leaf dirty,ENG4012,23.0
box purple,purple box,1.0,purple,box,box purple,ENG4012,24.0
ribbon spotted,spotted ribbon,1.0,spotted,ribbon,ribbon spotted,ENG4012,25.0
green shovel,shovel green,1.0,green,shovel,shovel green,ENG4012,26.0
spatula striped,striped spatula,1.0,striped,spatula,spatula striped,ENG4012,27.0
dirty pear,pear dirty,1.0,dirty,pear,pear dirty,ENG4012,28.0
lamp purple,purple lamp,1.0,purple,lamp,lamp purple,ENG4012,29.0
pig spotted,spotted pig,1.0,spotted,pig,pig spotted,ENG4012,30.0
