buttonA,buttonB,correct,modifier,noun,response,suj,trial
this car,car this,1.0,this,car,car this,ENG3003,1.0
shovel that,that shovel,1.0,that,shovel,shovel that,ENG3003,2.0
horses these,these horses,1.0,these,horses,horses these,ENG3003,3.0
those boxes,boxes those,1.0,those,boxes,boxes those,ENG3003,4.0
this hat,hat this,1.0,this,hat,hat this,ENG3003,5.0
that pineapple,pineapple that,1.0,that,pineapple,pineapple that,ENG3003,6.0
suitcases these,these suitcases,1.0,these,suitcases,suitcases these,ENG3003,7.0
those ribbons,ribbons those,1.0,those,ribbons,ribbons those,ENG3003,8.0
this spatula,spatula this,1.0,this,spatula,spatula this,ENG3003,9.0
cow that,that cow,1.0,that,cow,cow that,ENG3003,10.0
these handbags,handbags these,1.0,these,handbags,handbags these,ENG3003,11.0
cherries those,those cherries,1.0,those,cherries,cherries those,ENG3003,12.0
this scarf,scarf this,1.0,this,scarf,scarf this,ENG3003,13.0
that lamp,lamp that,1.0,that,lamp,lamp that,ENG3003,14.0
these pitchers,pitchers these,1.0,these,pitchers,pitchers these,ENG3003,15.0
key green,green key,1.0,green,key,key green,ENG3003,16.0
couch stone,stone couch,1.0,stone,couch,couch stone,ENG3003,17.0
dirty shoe,shoe dirty,1.0,dirty,shoe,shoe dirty,ENG3003,18.0
spotted shirt,shirt spotted,1.0,spotted,shirt,shirt spotted,ENG3003,19.0
purple pillow,pillow purple,1.0,purple,pillow,pillow purple,ENG3003,20.0
shovel green,green shovel,1.0,green,shovel,shovel green,ENG3003,21.0
stone cow,cow stone,1.0,stone,cow,cow stone,ENG3003,22.0
dirty couch,couch dirty,1.0,dirty,couch,couch dirty,ENG3003,23.0
pillow spotted,spotted pillow,1.0,spotted,pillow,pillow spotted,ENG3003,24.0
purple spatula,spatula purple,1.0,purple,spatula,spatula purple,ENG3003,25.0
green handbag,handbag green,1.0,green,handbag,handbag green,ENG3003,26.0
box stone,stone box,1.0,stone,box,box stone,ENG3003,27.0
shoe dirty,dirty shoe,1.0,dirty,shoe,shoe dirty,ENG3003,28.0
lamp spotted,spotted lamp,1.0,spotted,lamp,lamp spotted,ENG3003,29.0
horse purple,purple horse,1.0,purple,horse,horse purple,ENG3003,30.0
