buttonA,buttonB,correct,modifier,noun,response,suj,trial
this key,key this,1.0,this,key,key this,ENG2001,1.0
that horse,horse that,1.0,that,horse,horse that,ENG2001,2.0
ribbons those,those ribbons,1.0,those,ribbons,ribbons those,ENG2001,3.0
these vases,vases these,1.0,these,vases,vases these,ENG2001,4.0
cow this,this cow,1.0,this,cow,cow this,ENG2001,5.0
that suitcase,suitcase that,1.0,that,suitcase,suitcase that,ENG2001,6.0
those trays,trays those,1.0,those,trays,trays those,ENG2001,7.0
pears these,these pears,1.0,these,pears,pears these,ENG2001,8.0
this box,box this,1.0,this,box,box this,ENG2001,9.0
pig that,that pig,1.0,that,pig,pig that,ENG2001,10.0
cars those,those cars,1.0,those,cars,cars those,ENG2001,11.0
couches these,these couches,1.0,these,couches,couches these,ENG2001,12.0
scarf this,this scarf,1.0,this,scarf,scarf this,ENG2001,13.0
that handbag,handbag that,1.0,that,handbag,handbag that,ENG2001,14.0
those chairs,chairs those,1.0,those,chairs,chairs those,ENG2001,15.0
nine shirts,shirts nine,1.0,nine,shirts,shirts nine,ENG2001,16.0
lamps eight,eight lamps,1.0,eight,lamps,lamps eight,ENG2001,17.0
six pillows,pillows six,1.0,six,pillows,pillows six,ENG2001,18.0
two bananas,bananas two,1.0,two,bananas,bananas two,ENG2001,19.0
darts ten,ten darts,1.0,ten,darts,darts ten,ENG2001,20.0
nine chairs,chairs nine,1.0,nine,chairs,chairs nine,ENG2001,21.0
eight horses,horses eight,1.0,eight,horses,horses eight,ENG2001,22.0
pears six,six pears,1.0,six,pears,pears six,ENG2001,23.0
two boxes,boxes two,1.0,two,boxes,boxes two,ENG2001,24.0
ten lamps,lamps ten,1.0,ten,lamps,lamps ten,ENG2001,25.0
nine scarves,scarves nine,1.0,nine,scarves,scarves nine,ENG2001,26.0
handbags eight,eight handbags,1.0,eight,handbags,handbags eight,ENG2001,27.0
pillows six,six pillows,1.0,six,pillows,pillows six,ENG2001,28.0
two bananas,bananas two,1.0,two,bananas,bananas two,ENG2001,29.0
darts ten,ten darts,1.0,ten,darts,darts ten,ENG2001,30.0
