buttonA,buttonB,correct,modifier,noun,response,suj,trial
pitchers ten,ten pitchers,1.0,ten,pitchers,pitchers ten,ENG1005,1.0
two leaves,leaves two,1.0,two,leaves,leaves two,ENG1005,2.0
one pear,pear one,1.0,one,pear,pear one,ENG1005,3.0
trays four,four trays,1.0,four,trays,trays four,ENG1005,4.0
three bowls,bowls three,1.0,three,bowls,bowls three,ENG1005,5.0
keys ten,ten keys,1.0,ten,keys,keys ten,ENG1005,6.0
bananas two,two bananas,1.0,two,bananas,bananas two,ENG1005,7.0
one spatula,spatula one,1.0,one,spatula,spatula one,ENG1005,8.0
four horses,horses four,1.0,four,horses,horses four,ENG1005,9.0
three cherries,cherries three,1.0,three,cherries,cherries three,ENG1005,10.0
vases ten,ten vases,1.0,ten,vases,vases ten,ENG1005,11.0
two scarves,scarves two,1.0,two,scarves,scarves two,ENG1005,12.0
car one,one car,1.0,one,car,car one,ENG1005,13.0
hats four,four hats,1.0,four,hats,hats four,ENG1005,14.0
three cows,cows three,1.0,three,cows,cows three,ENG1005,15.0
striped box,box striped,1.0,striped,box,box striped,ENG1005,16.0
wooden shirt,shirt wooden,1.0,wooden,shirt,shirt wooden,ENG1005,17.0
duck stone,stone duck,1.0,stone,duck,duck stone,ENG1005,18.0
couch blue,blue couch,1.0,blue,couch,couch blue,ENG1005,19.0
chair green,green chair,1.0,green,chair,chair green,ENG1005,20.0
pitcher striped,striped pitcher,1.0,striped,pitcher,pitcher striped,ENG1005,21.0
shirt wooden,wooden shirt,1.0,wooden,shirt,shirt wooden,ENG1005,22.0
stone box,box stone,1.0,stone,box,box stone,ENG1005,23.0
blue car,car blue,1.0,blue,car,car blue,ENG1005,24.0
horse green,green horse,1.0,green,horse,horse green,ENG1005,25.0
striped banana,banana striped,1.0,striped,banana,banana striped,ENG1005,26.0
scarf wooden,wooden scarf,1.0,wooden,scarf,scarf wooden,ENG1005,27.0
stone couch,couch stone,1.0,stone,couch,couch stone,ENG1005,28.0
duck blue,blue duck,1.0,blue,duck,duck blue,ENG1005,29.0
green bowl,bowl green,1.0,green,bowl,bowl green,ENG1005,30.0
