buttonA,buttonB,correct,modifier,noun,response,suj,trial
that shoe,shoe that,1.0,that,shoe,shoe that,ENG3010,1.0
suitcases these,these suitcases,1.0,these,suitcases,suitcases these,ENG3010,2.0
this cow,cow this,1.0,this,cow,cow this,ENG3010,3.0
bowls those,those bowls,1.0,those,bowls,bowls those,ENG3010,4.0
horse that,that horse,1.0,that,horse,horse that,ENG3010,5.0
these ducks,ducks these,1.0,these,ducks,ducks these,ENG3010,6.0
this pear,pear this,1.0,this,pear,pear this,ENG3010,7.0
those vases,vases those,1.0,those,vases,vases those,ENG3010,8.0
that box,box that,1.0,that,box,box that,ENG3010,9.0
these darts,darts these,1.0,these,darts,darts these,ENG3010,10.0
this key,key this,1.0,this,key,key this,ENG3010,11.0
those cherries,cherries those,1.0,those,cherries,cherries those,ENG3010,12.0
that car,car that,1.0,that,car,car that,ENG3010,13.0
these pigs,pigs these,1.0,these,pigs,pigs these,ENG3010,14.0
spatula this,this spatula,1.0,this,spatula,spatula this,ENG3010,15.0
one couch,couch one,1.0,one,couch,couch one,ENG3010,16.0
pitchers four,four pitchers,1.0,four,pitchers,pitchers four,ENG3010,17.0
ten scarves,scarves ten,1.0,ten,scarves,scarves ten,ENG3010,18.0
eight lamps,lamps eight,1.0,eight,lamps,lamps eight,ENG3010,19.0
two handbags,handbags two,1.0,two,handbags,handbags two,ENG3010,20.0
one scarf,scarf one,1.0,one,scarf,scarf one,ENG3010,21.0
four shoes,shoes four,1.0,four,shoes,shoes four,ENG3010,22.0
vases ten,ten vases,1.0,ten,vases,vases ten,ENG3010,23.0
darts eight,eight darts,1.0,eight,darts,darts eight,ENG3010,24.0
two pitchers,pitchers two,1.0,two,pitchers,pitchers two,ENG3010,25.0
one pear,pear one,1.0,one,pear,pear one,ENG3010,26.0
four suitcases,suitcases four,1.0,four,suitcases,suitcases four,ENG3010,27.0
ten horses,horses ten,1.0,ten,horses,horses ten,ENG3010,28.0
cars eight,eight cars,1.0,eight,cars,cars eight,ENG3010,29.0
spatulas two,two spatulas,1.0,two,spatulas,spatulas two,ENG3010,30.0
