buttonA,buttonB,correct,modifier,noun,response,suj,trial
spatulas those,those spatulas,1.0,those,spatulas,spatulas those,ENG3016,1.0
pitcher that,that pitcher,1.0,that,pitcher,pitcher that,ENG3016,2.0
cars these,these cars,1.0,these,cars,cars these,ENG3016,3.0
handbag this,this handbag,1.0,this,handbag,handbag this,ENG3016,4.0
cherries those,those cherries,1.0,those,cherries,cherries those,ENG3016,5.0
key that,that key,1.0,that,key,key that,ENG3016,6.0
these pigs,pigs these,1.0,these,pigs,pigs these,ENG3016,7.0
shoe this,this shoe,1.0,this,shoe,shoe this,ENG3016,8.0
those shirts,shirts those,1.0,those,shirts,shirts those,ENG3016,9.0
that ribbon,ribbon that,1.0,that,ribbon,ribbon that,ENG3016,10.0
these pineapples,pineapples these,1.0,these,pineapples,pineapples these,ENG3016,11.0
pear this,this pear,1.0,this,pear,pear this,ENG3016,12.0
those horses,horses those,1.0,those,horses,horses those,ENG3016,13.0
that box,box that,1.0,that,box,box that,ENG3016,14.0
leaves these,these leaves,1.0,these,leaves,leaves these,ENG3016,15.0
suitcases ten,ten suitcases,1.0,ten,suitcases,suitcases ten,ENG3016,16.0
bananas six,six bananas,1.0,six,bananas,bananas six,ENG3016,17.0
nine lamps,lamps nine,1.0,nine,lamps,lamps nine,ENG3016,18.0
seven darts,darts seven,1.0,seven,darts,darts seven,ENG3016,19.0
couches five,five couches,1.0,five,couches,couches five,ENG3016,20.0
ten shoes,shoes ten,1.0,ten,shoes,shoes ten,ENG3016,21.0
pigs six,six pigs,1.0,six,pigs,pigs six,ENG3016,22.0
leaves nine,nine leaves,1.0,nine,leaves,leaves nine,ENG3016,23.0
suitcases seven,seven suitcases,1.0,seven,suitcases,suitcases seven,ENG3016,24.0
five shirts,shirts five,1.0,five,shirts,shirts five,ENG3016,25.0
boxes ten,ten boxes,1.0,ten,boxes,boxes ten,ENG3016,26.0
cars six,six cars,1.0,six,cars,cars six,ENG3016,27.0
nine pitchers,pitchers nine,1.0,nine,pitchers,pitchers nine,ENG3016,28.0
cherries seven,seven cherries,1.0,seven,cherries,cherries seven,ENG3016,29.0
five couches,couches five,1.0,five,couches,couches five,ENG3016,30.0
