buttonA,buttonB,correct,modifier,noun,response,suj,trial
pillows two,two pillows,1.0,two,pillows,pillows two,ENG2008,1.0
four cows,cows four,1.0,four,cows,cows four,ENG2008,2.0
one scarf,scarf one,1.0,one,scarf,scarf one,ENG2008,3.0
suitcases three,three suitcases,1.0,three,suitcases,suitcases three,ENG2008,4.0
pears six,six pears,1.0,six,pears,pears six,ENG2008,5.0
pineapples two,two pineapples,1.0,two,pineapples,pineapples two,ENG2008,6.0
ducks four,four ducks,1.0,four,ducks,ducks four,ENG2008,7.0
one leaf,leaf one,1.0,one,leaf,leaf one,ENG2008,8.0
three bowls,bowls three,1.0,three,bowls,bowls three,ENG2008,9.0
shovels six,six shovels,1.0,six,shovels,shovels six,ENG2008,10.0
two shirts,shirts two,1.0,two,shirts,shirts two,ENG2008,11.0
four shoes,shoes four,1.0,four,shoes,shoes four,ENG2008,12.0
chair one,one chair,1.0,one,chair,chair one,ENG2008,13.0
three pigs,pigs three,1.0,three,pigs,pigs three,ENG2008,14.0
pitchers six,six pitchers,1.0,six,pitchers,pitchers six,ENG2008,15.0
furry vase,vase furry,1.0,furry,vase,vase furry,ENG2008,16.0
purple lamp,lamp purple,1.0,purple,lamp,lamp purple,ENG2008,17.0
spatula orange,orange spatula,1.0,orange,spatula,spatula orange,ENG2008,18.0
dirty banana,banana dirty,1.0,dirty,banana,banana dirty,ENG2008,19.0
striped hat,hat striped,1.0,striped,hat,hat striped,ENG2008,20.0
furry vase,vase furry,1.0,furry,vase,vase furry,ENG2008,21.0
purple scarf,scarf purple,1.0,purple,scarf,scarf purple,ENG2008,22.0
pitcher orange,orange pitcher,1.0,orange,pitcher,pitcher orange,ENG2008,23.0
dirty pear,pear dirty,1.0,dirty,pear,pear dirty,ENG2008,24.0
duck striped,striped duck,1.0,striped,duck,duck striped,ENG2008,25.0
furry cow,cow furry,1.0,furry,cow,cow furry,ENG2008,26.0
hat purple,purple hat,1.0,purple,hat,hat purple,ENG2008,27.0
orange spatula,spatula orange,1.0,orange,spatula,spatula orange,ENG2008,28.0
pig dirty,dirty pig,1.0,dirty,pig,pig dirty,ENG2008,29.0
banana striped,striped banana,1.0,striped,banana,banana striped,ENG2008,30.0
