buttonA,buttonB,correct,modifier,noun,response,suj,trial
couch that,that couch,1.0,that,couch,couch that,ENG4009,1.0
suitcases those,those suitcases,1.0,those,suitcases,suitcases those,ENG4009,2.0
these trays,trays these,1.0,these,trays,trays these,ENG4009,3.0
hat this,this hat,1.0,this,hat,hat this,ENG4009,4.0
that car,car that,1.0,that,car,car that,ENG4009,5.0
pears those,those pears,1.0,those,pears,pears those,ENG4009,6.0
shoes these,these shoes,1.0,these,shoes,shoes these,ENG4009,7.0
spatula this,this spatula,1.0,this,spatula,spatula this,ENG4009,8.0
pillow that,that pillow,1.0,that,pillow,pillow that,ENG4009,9.0
those ribbons,ribbons those,1.0,those,ribbons,ribbons those,ENG4009,10.0
these horses,horses these,1.0,these,horses,horses these,ENG4009,11.0
cow this,this cow,1.0,this,cow,cow this,ENG4009,12.0
that pig,pig that,1.0,that,pig,pig that,ENG4009,13.0
bowls those,those bowls,1.0,those,bowls,bowls those,ENG4009,14.0
leaves these,these leaves,1.0,these,leaves,leaves these,ENG4009,15.0
key blue,blue key,1.0,blue,key,key blue,ENG4009,16.0
striped vase,vase striped,1.0,striped,vase,vase striped,ENG4009,17.0
furry pineapple,pineapple furry,1.0,furry,pineapple,pineapple furry,ENG4009,18.0
shirt stone,stone shirt,1.0,stone,shirt,shirt stone,ENG4009,19.0
duck purple,purple duck,1.0,purple,duck,duck purple,ENG4009,20.0
blue pear,pear blue,1.0,blue,pear,pear blue,ENG4009,21.0
striped shoe,shoe striped,1.0,striped,shoe,shoe striped,ENG4009,22.0
pig furry,furry pig,1.0,furry,pig,pig furry,ENG4009,23.0
stone suitcase,suitcase stone,1.0,stone,suitcase,suitcase stone,ENG4009,24.0
spatula purple,purple spatula,1.0,purple,spatula,spatula purple,ENG4009,25.0
blue tray,tray blue,1.0,blue,tray,tray blue,ENG4009,26.0
striped couch,couch striped,1.0,striped,couch,couch striped,ENG4009,27.0
pineapple furry,furry pineapple,1.0,furry,pineapple,pineapple furry,ENG4009,28.0
cow stone,stone cow,1.0,stone,cow,cow stone,ENG4009,29.0
shirt purple,purple shirt,1.0,purple,shirt,shirt purple,ENG4009,30.0
