buttonA,buttonB,correct,modifier,noun,response,suj,trial
that pillow,pillow that,1.0,that,pillow,pillow that,ENG2003,1.0
pears these,these pears,1.0,these,pears,pears these,ENG2003,2.0
those cows,cows those,1.0,those,cows,cows those,ENG2003,3.0
shovel this,this shovel,1.0,this,shovel,shovel this,ENG2003,4.0
that cherry,cherry that,1.0,that,cherry,cherry that,ENG2003,5.0
these suitcases,suitcases these,1.0,these,suitcases,suitcases these,ENG2003,6.0
leaves those,those leaves,1.0,those,leaves,leaves those,ENG2003,7.0
this chair,chair this,1.0,this,chair,chair this,ENG2003,8.0
that key,key that,1.0,that,key,key that,ENG2003,9.0
shoes these,these shoes,1.0,these,shoes,shoes these,ENG2003,10.0
those ducks,ducks those,1.0,those,ducks,ducks those,ENG2003,11.0
tray this,this tray,1.0,this,tray,tray this,ENG2003,12.0
vase that,that vase,1.0,that,vase,vase that,ENG2003,13.0
these couches,couches these,1.0,these,couches,couches these,ENG2003,14.0
lamps those,those lamps,1.0,those,lamps,lamps those,ENG2003,15.0
blue scarf,scarf blue,1.0,blue,scarf,scarf blue,ENG2003,16.0
spotted ribbon,ribbon spotted,1.0,spotted,ribbon,ribbon spotted,ENG2003,17.0
pig wooden,wooden pig,1.0,wooden,pig,pig wooden,ENG2003,18.0
bowl dirty,dirty bowl,1.0,dirty,bowl,bowl dirty,ENG2003,19.0
stone shirt,shirt stone,1.0,stone,shirt,shirt stone,ENG2003,20.0
chair blue,blue chair,1.0,blue,chair,chair blue,ENG2003,21.0
scarf spotted,spotted scarf,1.0,spotted,scarf,scarf spotted,ENG2003,22.0
bowl wooden,wooden bowl,1.0,wooden,bowl,bowl wooden,ENG2003,23.0
dirty tray,tray dirty,1.0,dirty,tray,tray dirty,ENG2003,24.0
shoe stone,stone shoe,1.0,stone,shoe,shoe stone,ENG2003,25.0
blue pear,pear blue,1.0,blue,pear,pear blue,ENG2003,26.0
spotted pig,pig spotted,1.0,spotted,pig,pig spotted,ENG2003,27.0
wooden duck,duck wooden,1.0,wooden,duck,duck wooden,ENG2003,28.0
cow dirty,dirty cow,1.0,dirty,cow,cow dirty,ENG2003,29.0
stone suitcase,suitcase stone,1.0,stone,suitcase,suitcase stone,ENG2003,30.0
