LanguageName
Mandarin
Spanish
English
Hindi
Arabic
Portuguese
Bengali
Russian
Japanese
Punjabi
German
Javanese
Wu (e.g. Shanghainese)
Malay (inc. Malaysian and Indonesian)
Telugu
Vietnamese
Korean
French
Marathi
Tamil
Urdu
Turkish
Italian
Yue (incl. Cantonese)
Thai
Gujarati
Jin
Southern Min (incl. Hokkien and Teochew)
Persian
Polish
Pashto
Kannada
Xiang (Hunanese)
Malayalam
Sundanese
Hausa
Odia (Oriya)
Burmese
Hakka
Ukrainian
Bhojpuri
Tagalog (Filipino)
Yoruba
Maithili
Uzbek
Sindhi
Amharic
Fula
Romanian
Oromo
Igbo
Azerbaijani
Awadhi
Gan Chinese
Cebuano (Visayan)
Dutch
Kurdish
Serbo-Croatian
Malagasy
Saraiki
Nepali
Sinhalese
Chittagonian
Zhuang
Khmer
Turkmen
Assamese
Madurese
Somali
Marwari
Magahi
Haryanvi
Hungarian
Chhattisgarhi
Greek
Chewa
Deccan
Akan
Kazakh
Northern Min
Sylheti
Zulu
Czech
Kinyarwanda
Dhundhari
Haitian Creole
Eastern Min (inc. Fuzhounese)
Ilocano
Quechua
Kirundi
Swedish
Hmong
Shona
Uyghur
Hiligaynon/Ilonggo (Visayan)
Mossi
Xhosa
Belarusian
Balochi
Konkani
