buttonA,buttonB,correct,modifier,noun,response,suj,trial
this pear,pear this,1.0,this,pear,pear this,ENG2007,1.0
pineapple that,that pineapple,1.0,that,pineapple,pineapple that,ENG2007,2.0
those couches,couches those,1.0,those,couches,couches those,ENG2007,3.0
these vases,vases these,1.0,these,vases,vases these,ENG2007,4.0
chair this,this chair,1.0,this,chair,chair this,ENG2007,5.0
spatula that,that spatula,1.0,that,spatula,spatula that,ENG2007,6.0
boxes those,those boxes,1.0,those,boxes,boxes those,ENG2007,7.0
these pigs,pigs these,1.0,these,pigs,pigs these,ENG2007,8.0
this lamp,lamp this,1.0,this,lamp,lamp this,ENG2007,9.0
that shoe,shoe that,1.0,that,shoe,shoe that,ENG2007,10.0
scarves those,those scarves,1.0,those,scarves,scarves those,ENG2007,11.0
these ducks,ducks these,1.0,these,ducks,ducks these,ENG2007,12.0
shovel this,this shovel,1.0,this,shovel,shovel this,ENG2007,13.0
that leaf,leaf that,1.0,that,leaf,leaf that,ENG2007,14.0
those bowls,bowls those,1.0,those,bowls,bowls those,ENG2007,15.0
six trays,trays six,1.0,six,trays,trays six,ENG2007,16.0
two keys,keys two,1.0,two,keys,keys two,ENG2007,17.0
shirts five,five shirts,1.0,five,shirts,shirts five,ENG2007,18.0
handbags seven,seven handbags,1.0,seven,handbags,handbags seven,ENG2007,19.0
suitcases ten,ten suitcases,1.0,ten,suitcases,suitcases ten,ENG2007,20.0
six lamps,lamps six,1.0,six,lamps,lamps six,ENG2007,21.0
two handbags,handbags two,1.0,two,handbags,handbags two,ENG2007,22.0
five spatulas,spatulas five,1.0,five,spatulas,spatulas five,ENG2007,23.0
keys seven,seven keys,1.0,seven,keys,keys seven,ENG2007,24.0
ducks ten,ten ducks,1.0,ten,ducks,ducks ten,ENG2007,25.0
bowls six,six bowls,1.0,six,bowls,bowls six,ENG2007,26.0
couches two,two couches,1.0,two,couches,couches two,ENG2007,27.0
shovels five,five shovels,1.0,five,shovels,shovels five,ENG2007,28.0
boxes seven,seven boxes,1.0,seven,boxes,boxes seven,ENG2007,29.0
ten suitcases,suitcases ten,1.0,ten,suitcases,suitcases ten,ENG2007,30.0
