buttonA,buttonB,correct,modifier,noun,response,suj,trial
those hats,hats those,1.0,those,hats,hats those,ENG3007,1.0
these pears,pears these,1.0,these,pears,pears these,ENG3007,2.0
suitcase this,this suitcase,1.0,this,suitcase,suitcase this,ENG3007,3.0
that box,box that,1.0,that,box,box that,ENG3007,4.0
those cows,cows those,1.0,those,cows,cows those,ENG3007,5.0
these bananas,bananas these,1.0,these,bananas,bananas these,ENG3007,6.0
couch this,this couch,1.0,this,couch,couch this,ENG3007,7.0
key that,that key,1.0,that,key,key that,ENG3007,8.0
those shirts,shirts those,1.0,those,shirts,shirts those,ENG3007,9.0
shoes these,these shoes,1.0,these,shoes,shoes these,ENG3007,10.0
this chair,chair this,1.0,this,chair,chair this,ENG3007,11.0
car that,that car,1.0,that,car,car that,ENG3007,12.0
vases those,those vases,1.0,those,vases,vases those,ENG3007,13.0
these pillows,pillows these,1.0,these,pillows,pillows these,ENG3007,14.0
this leaf,leaf this,1.0,this,leaf,leaf this,ENG3007,15.0
trays nine,nine trays,1.0,nine,trays,trays nine,ENG3007,16.0
scarves six,six scarves,1.0,six,scarves,scarves six,ENG3007,17.0
pitchers five,five pitchers,1.0,five,pitchers,pitchers five,ENG3007,18.0
horses two,two horses,1.0,two,horses,horses two,ENG3007,19.0
ribbon one,one ribbon,1.0,one,ribbon,ribbon one,ENG3007,20.0
bananas nine,nine bananas,1.0,nine,bananas,bananas nine,ENG3007,21.0
six horses,horses six,1.0,six,horses,horses six,ENG3007,22.0
shirts five,five shirts,1.0,five,shirts,shirts five,ENG3007,23.0
two hats,hats two,1.0,two,hats,hats two,ENG3007,24.0
cow one,one cow,1.0,one,cow,cow one,ENG3007,25.0
nine pillows,pillows nine,1.0,nine,pillows,pillows nine,ENG3007,26.0
six scarves,scarves six,1.0,six,scarves,scarves six,ENG3007,27.0
pitchers five,five pitchers,1.0,five,pitchers,pitchers five,ENG3007,28.0
couches two,two couches,1.0,two,couches,couches two,ENG3007,29.0
suitcase one,one suitcase,1.0,one,suitcase,suitcase one,ENG3007,30.0
