buttonA,buttonB,correct,modifier,noun,response,suj,trial
eight darts,darts eight,1.0,eight,darts,darts eight,ENG3014,1.0
ribbons nine,nine ribbons,1.0,nine,ribbons,ribbons nine,ENG3014,2.0
one cow,cow one,1.0,one,cow,cow one,ENG3014,3.0
ten pineapples,pineapples ten,1.0,ten,pineapples,pineapples ten,ENG3014,4.0
three suitcases,suitcases three,1.0,three,suitcases,suitcases three,ENG3014,5.0
eight shirts,shirts eight,1.0,eight,shirts,shirts eight,ENG3014,6.0
nine chairs,chairs nine,1.0,nine,chairs,chairs nine,ENG3014,7.0
one hat,hat one,1.0,one,hat,hat one,ENG3014,8.0
ten bananas,bananas ten,1.0,ten,bananas,bananas ten,ENG3014,9.0
pitchers three,three pitchers,1.0,three,pitchers,pitchers three,ENG3014,10.0
ducks eight,eight ducks,1.0,eight,ducks,ducks eight,ENG3014,11.0
spatulas nine,nine spatulas,1.0,nine,spatulas,spatulas nine,ENG3014,12.0
vase one,one vase,1.0,one,vase,vase one,ENG3014,13.0
boxes ten,ten boxes,1.0,ten,boxes,boxes ten,ENG3014,14.0
three scarves,scarves three,1.0,three,scarves,scarves three,ENG3014,15.0
wooden leaf,leaf wooden,1.0,wooden,leaf,leaf wooden,ENG3014,16.0
cherry spotted,spotted cherry,1.0,spotted,cherry,cherry spotted,ENG3014,17.0
couch dirty,dirty couch,1.0,dirty,couch,couch dirty,ENG3014,18.0
orange car,car orange,1.0,orange,car,car orange,ENG3014,19.0
handbag stone,stone handbag,1.0,stone,handbag,handbag stone,ENG3014,20.0
wooden dart,dart wooden,1.0,wooden,dart,dart wooden,ENG3014,21.0
spotted pineapple,pineapple spotted,1.0,spotted,pineapple,pineapple spotted,ENG3014,22.0
car dirty,dirty car,1.0,dirty,car,car dirty,ENG3014,23.0
orange chair,chair orange,1.0,orange,chair,chair orange,ENG3014,24.0
leaf stone,stone leaf,1.0,stone,leaf,leaf stone,ENG3014,25.0
wooden duck,duck wooden,1.0,wooden,duck,duck wooden,ENG3014,26.0
shirt spotted,spotted shirt,1.0,spotted,shirt,shirt spotted,ENG3014,27.0
dirty suitcase,suitcase dirty,1.0,dirty,suitcase,suitcase dirty,ENG3014,28.0
scarf orange,orange scarf,1.0,orange,scarf,scarf orange,ENG3014,29.0
box stone,stone box,1.0,stone,box,box stone,ENG3014,30.0
