buttonA,buttonB,correct,modifier,noun,response,suj,trial
six spatulas,spatulas six,1.0,six,spatulas,spatulas six,ENG3002,1.0
darts three,three darts,1.0,three,darts,darts three,ENG3002,2.0
pitcher one,one pitcher,1.0,one,pitcher,pitcher one,ENG3002,3.0
shirts eight,eight shirts,1.0,eight,shirts,shirts eight,ENG3002,4.0
trays two,two trays,1.0,two,trays,trays two,ENG3002,5.0
six leaves,leaves six,1.0,six,leaves,leaves six,ENG3002,6.0
three pears,pears three,1.0,three,pears,pears three,ENG3002,7.0
shoe one,one shoe,1.0,one,shoe,shoe one,ENG3002,8.0
eight ribbons,ribbons eight,1.0,eight,ribbons,ribbons eight,ENG3002,9.0
suitcases two,two suitcases,1.0,two,suitcases,suitcases two,ENG3002,10.0
six pigs,pigs six,1.0,six,pigs,pigs six,ENG3002,11.0
lamps three,three lamps,1.0,three,lamps,lamps three,ENG3002,12.0
one banana,banana one,1.0,one,banana,banana one,ENG3002,13.0
cows eight,eight cows,1.0,eight,cows,cows eight,ENG3002,14.0
two pineapples,pineapples two,1.0,two,pineapples,pineapples two,ENG3002,15.0
orange horse,horse orange,1.0,orange,horse,horse orange,ENG3002,16.0
hat furry,furry hat,1.0,furry,hat,hat furry,ENG3002,17.0
blue key,key blue,1.0,blue,key,key blue,ENG3002,18.0
stone pillow,pillow stone,1.0,stone,pillow,pillow stone,ENG3002,19.0
bowl wooden,wooden bowl,1.0,wooden,bowl,bowl wooden,ENG3002,20.0
orange hat,hat orange,1.0,orange,hat,hat orange,ENG3002,21.0
pig furry,furry pig,1.0,furry,pig,pig furry,ENG3002,22.0
cow blue,blue cow,1.0,blue,cow,cow blue,ENG3002,23.0
banana stone,stone banana,1.0,stone,banana,banana stone,ENG3002,24.0
wooden ribbon,ribbon wooden,1.0,wooden,ribbon,ribbon wooden,ENG3002,25.0
orange pineapple,pineapple orange,1.0,orange,pineapple,pineapple orange,ENG3002,26.0
key furry,furry key,1.0,furry,key,key furry,ENG3002,27.0
blue pitcher,pitcher blue,1.0,blue,pitcher,pitcher blue,ENG3002,28.0
tray stone,stone tray,1.0,stone,tray,tray stone,ENG3002,29.0
lamp wooden,wooden lamp,1.0,wooden,lamp,lamp wooden,ENG3002,30.0
