buttonA,buttonB,correct,modifier,noun,response,suj,trial
these bowls,bowls these,1.0,these,bowls,bowls these,ENG4006,1.0
pig this,this pig,1.0,this,pig,pig this,ENG4006,2.0
shovels those,those shovels,1.0,those,shovels,shovels those,ENG4006,3.0
that pillow,pillow that,1.0,that,pillow,pillow that,ENG4006,4.0
these ducks,ducks these,1.0,these,ducks,ducks these,ENG4006,5.0
handbag this,this handbag,1.0,this,handbag,handbag this,ENG4006,6.0
those pears,pears those,1.0,those,pears,pears those,ENG4006,7.0
that box,box that,1.0,that,box,box that,ENG4006,8.0
these chairs,chairs these,1.0,these,chairs,chairs these,ENG4006,9.0
scarf this,this scarf,1.0,this,scarf,scarf this,ENG4006,10.0
those keys,keys those,1.0,those,keys,keys those,ENG4006,11.0
that banana,banana that,1.0,that,banana,banana that,ENG4006,12.0
trays these,these trays,1.0,these,trays,trays these,ENG4006,13.0
vase this,this vase,1.0,this,vase,vase this,ENG4006,14.0
those cows,cows those,1.0,those,cows,cows those,ENG4006,15.0
green ribbon,ribbon green,1.0,green,ribbon,ribbon green,ENG4006,16.0
lamp orange,orange lamp,1.0,orange,lamp,lamp orange,ENG4006,17.0
stone horse,horse stone,1.0,stone,horse,horse stone,ENG4006,18.0
striped shirt,shirt striped,1.0,striped,shirt,shirt striped,ENG4006,19.0
leaf furry,furry leaf,1.0,furry,leaf,leaf furry,ENG4006,20.0
leaf green,green leaf,1.0,green,leaf,leaf green,ENG4006,21.0
shirt orange,orange shirt,1.0,orange,shirt,shirt orange,ENG4006,22.0
bowl stone,stone bowl,1.0,stone,bowl,bowl stone,ENG4006,23.0
pear striped,striped pear,1.0,striped,pear,pear striped,ENG4006,24.0
box furry,furry box,1.0,furry,box,box furry,ENG4006,25.0
banana green,green banana,1.0,green,banana,banana green,ENG4006,26.0
orange horse,horse orange,1.0,orange,horse,horse orange,ENG4006,27.0
stone tray,tray stone,1.0,stone,tray,tray stone,ENG4006,28.0
cow striped,striped cow,1.0,striped,cow,cow striped,ENG4006,29.0
furry lamp,lamp furry,1.0,furry,lamp,lamp furry,ENG4006,30.0
