buttonA,buttonB,correct,modifier,noun,response,suj,trial
these suitcases,suitcases these,1.0,these,suitcases,suitcases these,ENG3009,1.0
dart this,this dart,1.0,this,dart,dart this,ENG3009,2.0
those horses,horses those,1.0,those,horses,horses those,ENG3009,3.0
that vase,vase that,1.0,that,vase,vase that,ENG3009,4.0
these spatulas,spatulas these,1.0,these,spatulas,spatulas these,ENG3009,5.0
this box,box this,1.0,this,box,box this,ENG3009,6.0
lamps those,those lamps,1.0,those,lamps,lamps those,ENG3009,7.0
that pineapple,pineapple that,1.0,that,pineapple,pineapple that,ENG3009,8.0
these shovels,shovels these,1.0,these,shovels,shovels these,ENG3009,9.0
this pear,pear this,1.0,this,pear,pear this,ENG3009,10.0
leaves those,those leaves,1.0,those,leaves,leaves those,ENG3009,11.0
that pig,pig that,1.0,that,pig,pig that,ENG3009,12.0
these cars,cars these,1.0,these,cars,cars these,ENG3009,13.0
this tray,tray this,1.0,this,tray,tray this,ENG3009,14.0
shirts those,those shirts,1.0,those,shirts,shirts those,ENG3009,15.0
stone duck,duck stone,1.0,stone,duck,duck stone,ENG3009,16.0
key wooden,wooden key,1.0,wooden,key,key wooden,ENG3009,17.0
handbag striped,striped handbag,1.0,striped,handbag,handbag striped,ENG3009,18.0
furry hat,hat furry,1.0,furry,hat,hat furry,ENG3009,19.0
cherry orange,orange cherry,1.0,orange,cherry,cherry orange,ENG3009,20.0
leaf stone,stone leaf,1.0,stone,leaf,leaf stone,ENG3009,21.0
lamp wooden,wooden lamp,1.0,wooden,lamp,lamp wooden,ENG3009,22.0
pig striped,striped pig,1.0,striped,pig,pig striped,ENG3009,23.0
furry vase,vase furry,1.0,furry,vase,vase furry,ENG3009,24.0
hat orange,orange hat,1.0,orange,hat,hat orange,ENG3009,25.0
pear stone,stone pear,1.0,stone,pear,pear stone,ENG3009,26.0
cherry wooden,wooden cherry,1.0,wooden,cherry,cherry wooden,ENG3009,27.0
striped shirt,shirt striped,1.0,striped,shirt,shirt striped,ENG3009,28.0
spatula furry,furry spatula,1.0,furry,spatula,spatula furry,ENG3009,29.0
tray orange,orange tray,1.0,orange,tray,tray orange,ENG3009,30.0
