buttonA,buttonB,correct,modifier,noun,response,suj,trial
one bowl,bowl one,1.0,one,bowl,bowl one,ENG3011,1.0
cars five,five cars,1.0,five,cars,cars five,ENG3011,2.0
two boxes,boxes two,1.0,two,boxes,boxes two,ENG3011,3.0
four hats,hats four,1.0,four,hats,hats four,ENG3011,4.0
cherries nine,nine cherries,1.0,nine,cherries,cherries nine,ENG3011,5.0
pineapple one,one pineapple,1.0,one,pineapple,pineapple one,ENG3011,6.0
pitchers five,five pitchers,1.0,five,pitchers,pitchers five,ENG3011,7.0
darts two,two darts,1.0,two,darts,darts two,ENG3011,8.0
four shovels,shovels four,1.0,four,shovels,shovels four,ENG3011,9.0
nine suitcases,suitcases nine,1.0,nine,suitcases,suitcases nine,ENG3011,10.0
vase one,one vase,1.0,one,vase,vase one,ENG3011,11.0
five handbags,handbags five,1.0,five,handbags,handbags five,ENG3011,12.0
shoes two,two shoes,1.0,two,shoes,shoes two,ENG3011,13.0
horses four,four horses,1.0,four,horses,horses four,ENG3011,14.0
nine shirts,shirts nine,1.0,nine,shirts,shirts nine,ENG3011,15.0
key stone,stone key,1.0,stone,key,key stone,ENG3011,16.0
spotted tray,tray spotted,1.0,spotted,tray,tray spotted,ENG3011,17.0
duck green,green duck,1.0,green,duck,duck green,ENG3011,18.0
spatula dirty,dirty spatula,1.0,dirty,spatula,spatula dirty,ENG3011,19.0
blue ribbon,ribbon blue,1.0,blue,ribbon,ribbon blue,ENG3011,20.0
stone shirt,shirt stone,1.0,stone,shirt,shirt stone,ENG3011,21.0
spatula spotted,spotted spatula,1.0,spotted,spatula,spatula spotted,ENG3011,22.0
green vase,vase green,1.0,green,vase,vase green,ENG3011,23.0
ribbon dirty,dirty ribbon,1.0,dirty,ribbon,ribbon dirty,ENG3011,24.0
blue pineapple,pineapple blue,1.0,blue,pineapple,pineapple blue,ENG3011,25.0
duck stone,stone duck,1.0,stone,duck,duck stone,ENG3011,26.0
suitcase spotted,spotted suitcase,1.0,spotted,suitcase,suitcase spotted,ENG3011,27.0
green box,box green,1.0,green,box,box green,ENG3011,28.0
shoe dirty,dirty shoe,1.0,dirty,shoe,shoe dirty,ENG3011,29.0
blue hat,hat blue,1.0,blue,hat,hat blue,ENG3011,30.0
