buttonA,buttonB,correct,modifier,noun,response,suj,trial
pillows these,these pillows,1.0,these,pillows,pillows these,ENG2009,1.0
this leaf,leaf this,1.0,this,leaf,leaf this,ENG2009,2.0
that couch,couch that,1.0,that,couch,couch that,ENG2009,3.0
pineapples those,those pineapples,1.0,those,pineapples,pineapples those,ENG2009,4.0
these vases,vases these,1.0,these,vases,vases these,ENG2009,5.0
this dart,dart this,1.0,this,dart,dart this,ENG2009,6.0
banana that,that banana,1.0,that,banana,banana that,ENG2009,7.0
those boxes,boxes those,1.0,those,boxes,boxes those,ENG2009,8.0
spatulas these,these spatulas,1.0,these,spatulas,spatulas these,ENG2009,9.0
this shirt,shirt this,1.0,this,shirt,shirt this,ENG2009,10.0
lamp that,that lamp,1.0,that,lamp,lamp that,ENG2009,11.0
bowls those,those bowls,1.0,those,bowls,bowls those,ENG2009,12.0
these keys,keys these,1.0,these,keys,keys these,ENG2009,13.0
this car,car this,1.0,this,car,car this,ENG2009,14.0
that suitcase,suitcase that,1.0,that,suitcase,suitcase that,ENG2009,15.0
purple chair,chair purple,1.0,purple,chair,chair purple,ENG2009,16.0
green handbag,handbag green,1.0,green,handbag,handbag green,ENG2009,17.0
furry cow,cow furry,1.0,furry,cow,cow furry,ENG2009,18.0
striped pitcher,pitcher striped,1.0,striped,pitcher,pitcher striped,ENG2009,19.0
duck spotted,spotted duck,1.0,spotted,duck,duck spotted,ENG2009,20.0
purple car,car purple,1.0,purple,car,car purple,ENG2009,21.0
green cow,cow green,1.0,green,cow,cow green,ENG2009,22.0
dart furry,furry dart,1.0,furry,dart,dart furry,ENG2009,23.0
leaf striped,striped leaf,1.0,striped,leaf,leaf striped,ENG2009,24.0
chair spotted,spotted chair,1.0,spotted,chair,chair spotted,ENG2009,25.0
vase purple,purple vase,1.0,purple,vase,vase purple,ENG2009,26.0
pineapple green,green pineapple,1.0,green,pineapple,pineapple green,ENG2009,27.0
pillow furry,furry pillow,1.0,furry,pillow,pillow furry,ENG2009,28.0
striped spatula,spatula striped,1.0,striped,spatula,spatula striped,ENG2009,29.0
shirt spotted,spotted shirt,1.0,spotted,shirt,shirt spotted,ENG2009,30.0
