buttonA,buttonB,correct,modifier,noun,response,suj,trial
those hats,hats those,1.0,those,hats,hats those,ENG1004,1.0
suitcase that,that suitcase,1.0,that,suitcase,suitcase that,ENG1004,2.0
these scarves,scarves these,1.0,these,scarves,scarves these,ENG1004,3.0
this dart,dart this,1.0,this,dart,dart this,ENG1004,4.0
shovels those,those shovels,1.0,those,shovels,shovels those,ENG1004,5.0
pig that,that pig,1.0,that,pig,pig that,ENG1004,6.0
vases these,these vases,1.0,these,vases,vases these,ENG1004,7.0
this banana,banana this,1.0,this,banana,banana this,ENG1004,8.0
pineapples those,those pineapples,1.0,those,pineapples,pineapples those,ENG1004,9.0
pillow that,that pillow,1.0,that,pillow,pillow that,ENG1004,10.0
cherries these,these cherries,1.0,these,cherries,cherries these,ENG1004,11.0
this pear,pear this,1.0,this,pear,pear this,ENG1004,12.0
chairs those,those chairs,1.0,those,chairs,chairs those,ENG1004,13.0
car that,that car,1.0,that,car,car that,ENG1004,14.0
lamps these,these lamps,1.0,these,lamps,lamps these,ENG1004,15.0
two handbags,handbags two,1.0,two,handbags,handbags two,ENG1004,16.0
shoes seven,seven shoes,1.0,seven,shoes,shoes seven,ENG1004,17.0
cows three,three cows,1.0,three,cows,cows three,ENG1004,18.0
horses six,six horses,1.0,six,horses,horses six,ENG1004,19.0
couches ten,ten couches,1.0,ten,couches,couches ten,ENG1004,20.0
two pears,pears two,1.0,two,pears,pears two,ENG1004,21.0
seven hats,hats seven,1.0,seven,hats,hats seven,ENG1004,22.0
suitcases three,three suitcases,1.0,three,suitcases,suitcases three,ENG1004,23.0
shoes six,six shoes,1.0,six,shoes,shoes six,ENG1004,24.0
ten bananas,bananas ten,1.0,ten,bananas,bananas ten,ENG1004,25.0
vases two,two vases,1.0,two,vases,vases two,ENG1004,26.0
seven chairs,chairs seven,1.0,seven,chairs,chairs seven,ENG1004,27.0
pigs three,three pigs,1.0,three,pigs,pigs three,ENG1004,28.0
six lamps,lamps six,1.0,six,lamps,lamps six,ENG1004,29.0
ten cars,cars ten,1.0,ten,cars,cars ten,ENG1004,30.0
