buttonA,buttonB,correct,modifier,noun,response,suj,trial
six suitcases,suitcases six,1.0,six,suitcases,suitcases six,ENG2005,1.0
keys two,two keys,1.0,two,keys,keys two,ENG2005,2.0
five bowls,bowls five,1.0,five,bowls,bowls five,ENG2005,3.0
one car,car one,1.0,one,car,car one,ENG2005,4.0
vases four,four vases,1.0,four,vases,vases four,ENG2005,5.0
leaves six,six leaves,1.0,six,leaves,leaves six,ENG2005,6.0
two darts,darts two,1.0,two,darts,darts two,ENG2005,7.0
five scarves,scarves five,1.0,five,scarves,scarves five,ENG2005,8.0
one couch,couch one,1.0,one,couch,couch one,ENG2005,9.0
four cherries,cherries four,1.0,four,cherries,cherries four,ENG2005,10.0
pears six,six pears,1.0,six,pears,pears six,ENG2005,11.0
shovels two,two shovels,1.0,two,shovels,shovels two,ENG2005,12.0
five bananas,bananas five,1.0,five,bananas,bananas five,ENG2005,13.0
hat one,one hat,1.0,one,hat,hat one,ENG2005,14.0
four chairs,chairs four,1.0,four,chairs,chairs four,ENG2005,15.0
duck blue,blue duck,1.0,blue,duck,duck blue,ENG2005,16.0
pig furry,furry pig,1.0,furry,pig,pig furry,ENG2005,17.0
purple pineapple,pineapple purple,1.0,purple,pineapple,pineapple purple,ENG2005,18.0
green box,box green,1.0,green,box,box green,ENG2005,19.0
shirt dirty,dirty shirt,1.0,dirty,shirt,shirt dirty,ENG2005,20.0
car blue,blue car,1.0,blue,car,car blue,ENG2005,21.0
furry key,key furry,1.0,furry,key,key furry,ENG2005,22.0
bowl purple,purple bowl,1.0,purple,bowl,bowl purple,ENG2005,23.0
box green,green box,1.0,green,box,box green,ENG2005,24.0
banana dirty,dirty banana,1.0,dirty,banana,banana dirty,ENG2005,25.0
pig blue,blue pig,1.0,blue,pig,pig blue,ENG2005,26.0
furry hat,hat furry,1.0,furry,hat,hat furry,ENG2005,27.0
shovel purple,purple shovel,1.0,purple,shovel,shovel purple,ENG2005,28.0
green vase,vase green,1.0,green,vase,vase green,ENG2005,29.0
pineapple dirty,dirty pineapple,1.0,dirty,pineapple,pineapple dirty,ENG2005,30.0
