buttonA,buttonB,correct,modifier,noun,response,suj,trial
four darts,darts four,1.0,four,darts,darts four,ENG1002,1.0
two pigs,pigs two,1.0,two,pigs,pigs two,ENG1002,2.0
cars eight,eight cars,1.0,eight,cars,cars eight,ENG1002,3.0
bowl one,one bowl,1.0,one,bowl,bowl one,ENG1002,4.0
boxes three,three boxes,1.0,three,boxes,boxes three,ENG1002,5.0
pillows four,four pillows,1.0,four,pillows,pillows four,ENG1002,6.0
horses two,two horses,1.0,two,horses,horses two,ENG1002,7.0
eight shovels,shovels eight,1.0,eight,shovels,shovels eight,ENG1002,8.0
one leaf,leaf one,1.0,one,leaf,leaf one,ENG1002,9.0
three scarves,scarves three,1.0,three,scarves,scarves three,ENG1002,10.0
bananas four,four bananas,1.0,four,bananas,bananas four,ENG1002,11.0
two lamps,lamps two,1.0,two,lamps,lamps two,ENG1002,12.0
handbags eight,eight handbags,1.0,eight,handbags,handbags eight,ENG1002,13.0
one couch,couch one,1.0,one,couch,couch one,ENG1002,14.0
keys three,three keys,1.0,three,keys,keys three,ENG1002,15.0
cherry spotted,spotted cherry,1.0,spotted,cherry,cherry spotted,ENG1002,16.0
green suitcase,suitcase green,1.0,green,suitcase,suitcase green,ENG1002,17.0
wooden pear,pear wooden,1.0,wooden,pear,pear wooden,ENG1002,18.0
cow blue,blue cow,1.0,blue,cow,cow blue,ENG1002,19.0
dirty ribbon,ribbon dirty,1.0,dirty,ribbon,ribbon dirty,ENG1002,20.0
scarf spotted,spotted scarf,1.0,spotted,scarf,scarf spotted,ENG1002,21.0
green couch,couch green,1.0,green,couch,couch green,ENG1002,22.0
leaf wooden,wooden leaf,1.0,wooden,leaf,leaf wooden,ENG1002,23.0
blue pear,pear blue,1.0,blue,pear,pear blue,ENG1002,24.0
box dirty,dirty box,1.0,dirty,box,box dirty,ENG1002,25.0
spotted cow,cow spotted,1.0,spotted,cow,cow spotted,ENG1002,26.0
pig green,green pig,1.0,green,pig,pig green,ENG1002,27.0
shovel wooden,wooden shovel,1.0,wooden,shovel,shovel wooden,ENG1002,28.0
blue ribbon,ribbon blue,1.0,blue,ribbon,ribbon blue,ENG1002,29.0
horse dirty,dirty horse,1.0,dirty,horse,horse dirty,ENG1002,30.0
