buttonA,buttonB,correct,modifier,noun,response,suj,trial
that handbag,handbag that,1.0,that,handbag,handbag that,ENG4004,1.0
shoes these,these shoes,1.0,these,shoes,shoes these,ENG4004,2.0
this vase,vase this,1.0,this,vase,vase this,ENG4004,3.0
those pitchers,pitchers those,1.0,those,pitchers,pitchers those,ENG4004,4.0
that pear,pear that,1.0,that,pear,pear that,ENG4004,5.0
these chairs,chairs these,1.0,these,chairs,chairs these,ENG4004,6.0
this dart,dart this,1.0,this,dart,dart this,ENG4004,7.0
bowls those,those bowls,1.0,those,bowls,bowls those,ENG4004,8.0
duck that,that duck,1.0,that,duck,duck that,ENG4004,9.0
these pillows,pillows these,1.0,these,pillows,pillows these,ENG4004,10.0
leaf this,this leaf,1.0,this,leaf,leaf this,ENG4004,11.0
those spatulas,spatulas those,1.0,those,spatulas,spatulas those,ENG4004,12.0
tray that,that tray,1.0,that,tray,tray that,ENG4004,13.0
these horses,horses these,1.0,these,horses,horses these,ENG4004,14.0
this cow,cow this,1.0,this,cow,cow this,ENG4004,15.0
seven cherries,cherries seven,1.0,seven,cherries,cherries seven,ENG4004,16.0
four bananas,bananas four,1.0,four,bananas,bananas four,ENG4004,17.0
three pigs,pigs three,1.0,three,pigs,pigs three,ENG4004,18.0
six lamps,lamps six,1.0,six,lamps,lamps six,ENG4004,19.0
suitcases eight,eight suitcases,1.0,eight,suitcases,suitcases eight,ENG4004,20.0
seven bananas,bananas seven,1.0,seven,bananas,bananas seven,ENG4004,21.0
trays four,four trays,1.0,four,trays,trays four,ENG4004,22.0
handbags three,three handbags,1.0,three,handbags,handbags three,ENG4004,23.0
six pitchers,pitchers six,1.0,six,pitchers,pitchers six,ENG4004,24.0
eight pears,pears eight,1.0,eight,pears,pears eight,ENG4004,25.0
cows seven,seven cows,1.0,seven,cows,cows seven,ENG4004,26.0
chairs four,four chairs,1.0,four,chairs,chairs four,ENG4004,27.0
three vases,vases three,1.0,three,vases,vases three,ENG4004,28.0
six bowls,bowls six,1.0,six,bowls,bowls six,ENG4004,29.0
darts eight,eight darts,1.0,eight,darts,darts eight,ENG4004,30.0
