word,nb,cat
purple,,adj
broken,,adj
red,,adj
wooden,,adj
green,,adj
orange,,adj
round,,adj
plastic,,adj
stone,,adj
blue,,adj
two,plur,num
three,plur,num
six,plur,num
seven,plur,num
nine,plur,num
one,sing,num
four,plur,num
five,plur,num
eight,plur,num
ten,plur,num
this,sing,dem
that,sing,dem
those,plur,dem
these,plur,dem
